,,,,reading,Tape 1 (cm),Tape 2 (cm),Tape 3,Tape 4,Tape 5,v_1,v_2,v_3,v_4,v_5,a_1,a_2,a_3,a_4,a_5
Scale 1 (g),Scale 2 (g),Total (g),,0,0,0,0,0,0,18,63,18,33,15,-360,1980,540,1620,2160
224.91,336.81,561.72,,0.01666666667,0.3,0.65,0.2,0.15,0.25,12,96,27,60,51,0,1620,-180,720,1620
225.06,336.61,561.67,,0.03333333333,0.5,1.7,0.5,0.7,0.5,12,123,24,72,78,720,1620,2520,2880,1800
224.95,336.79,561.74,,0.05,0.7,3.3,0.95,1.7,1.35,24,150,66,120,108,-720,1620,1980,180,3060
224.97,336.81,561.78,,0.06666666667,1.1,5.35,1.35,2.9,2.65,12,177,99,123,159,360,1620,180,3060,900
225.16,336.52,561.68,,0.08333333333,1.3,7.85,2.45,4.9,4.45,18,204,102,174,174,0,900,2160,-540,720
Cart mass + cartridge (empty) (kg),,0.561718,,0.1,1.6,10.8,4.1,6.95,7.1,18,219,138,165,186,1260,1080,-360,1080,540
Cart mass + cartridge (full) (kg),,0.569718,,0.1166666667,1.9,14.2,5.8,9.85,10,39,237,132,183,195,360,1440,540,-180,-1620
,,,,0.1333333333,2.55,17.85,8.1,12.6,13.1,45,261,141,180,168,720,0,5400,540,3780
,,,,0.15,3.3,21.8,10.3,15.65,16.35,57,261,231,189,231,540,1260,5940,-540,-2700
,,,,0.1666666667,4.25,26.15,12.65,18.65,19.15,66,282,330,180,186,2700,360,-8460,360,3240
,,,,0.1833333333,5.35,30.5,16.5,21.8,23,111,288,189,186,240,2340,180,3600,6120,720
,,,,0.2,7.2,35.2,22,24.8,26.1,150,291,249,288,252,1440,450,-540,-7200,-2340
,,,,0.2166666667,9.7,40,25.15,27.9,30.1,174,298.5,240,168,213,-720,0,1080,6120,3420
,,,,0.2333333333,12.6,44.85,29.3,32.7,34.3,162,298.5,258,270,270,1800,-270,-3420,-4680,1260
,,,,0.25,15.3,49.825,33.3,35.5,37.85,192,294,201,192,291,1080,360,6300,720,-3960
,,,,0.2666666667,18.5,54.8,37.6,40,42.35,210,300,306,204,225,-1080,0,-6300,1980,2880
,,,,0.2833333333,22,59.7,40.95,43.2,47.2,192,300,201,237,273,900,720,3600,720,-1620
,,,,0.3,25.2,64.7,46.05,46.6,50.95,207,312,261,249,246,-360,360,1620,-180,-540
,,,,0.3166666667,28.65,69.7,49.4,50.55,55.5,201,318,288,246,237,900,-2340,-2160,-1080,1260
,,,,0.3333333333,32,74.9,53.75,54.7,59.6,216,279,252,228,258,-540,-1800,540,-540,-3420
,,,,0.35,35.6,80.2,58.55,58.8,63.55,207,249,261,219,201,360,-540,-720,2160,5940
,,,,0.3666666667,39.05,84.85,62.75,62.6,67.85,213,240,249,255,300,0,1800,-720,-4140,-1440
,,,,0.3833333333,42.6,89,67.1,66.25,71.2,213,270,237,186,276,0,360,2700,2700,-1620
,,,,0.4,46.15,93,71.25,70.5,76.2,213,276,282,231,249,180,-1260,-3600,0,1080
,,,,0.4166666667,49.7,97.5,75.2,73.6,80.8,216,255,222,231,267,180,-1980,4680,-1620,-540
,,,,0.4333333333,53.3,102.1,79.9,77.45,84.95,219,222,300,204,258,-180,3060,-5940,1620,-360
,,,,0.45,56.95,106.35,83.6,81.3,89.4,216,273,201,231,252,540,-1260,3420,720,1080
,,,,0.4666666667,60.55,110.05,88.6,84.7,93.7,225,252,258,243,270,0,,4320,540,-180
,,,,0.4833333333,64.3,114.6,91.95,88.55,97.9,225,,330,252,267,0,,-3780,1620,0
,,,,0.5,68.05,118.8,96.25,92.6,102.4,225,,267,279,267,180,,-180,-2880,540
,,,,0.5166666667,71.8,,101.75,96.8,106.85,228,,264,231,276,0,,540,180,-720
,,,,0.5333333333,75.6,,106.2,101.45,111.3,228,,273,234,264,720,,-360,180,
,,,,0.55,79.4,,110.6,105.3,115.9,240,,267,237,,-720,,,720,
,,,,0.5666666667,83.4,,115.15,109.2,120.3,228,,,249,,540,,,-540,
,,,,0.5833333333,87.2,,119.6,113.15,,237,,,240,,-360,,,,
,,,,0.6,91.15,,,117.3,,231,,,,,540,,,,
,,,,0.6166666667,95,,,121.3,,240,,,,,180,,,,
,,,,0.6333333333,99,,,,,243,,,,,1080,,,,
