Time (relative),Trial 1 (test),Trial 2 (2cm),Trial 3 (2cm),Trial 4 (1cm),Trial 5 (0cm),Trial 6 (2cm),Trial 7 (2cm),Trial 8 (2cm),Corrected,Trial 1,Trial 7,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 8,AVG
0,11.98577339,12.01315729,12.01315729,11.93750402,10.5694007,5.595108499,6.819269308,11.879832,,11.97553189,6.834396785,11.99393691,11.92645184,12.01847693,11.22092614,5.460155421,11.47246139,10.36279216
0.02,8.077774506,12.01315729,8.405773711,5.060162189,10.5694007,12.03072989,3.414340928,11.879832,,8.067533009,3.429468405,11.99393691,8.319068259,5.141135104,11.22092614,11.89577681,11.47246139,8.942538253
0.04,7.249548684,11.05609634,8.276938583,8.146070253,10.5694007,9.00003688,11.56162902,11.879832,,7.239307187,11.57675649,11.03687596,8.190233131,8.227043168,11.22092614,8.865083801,11.47246139,9.728585908
0.06,3.899835358,6.694107012,12.01315729,7.71048482,9.532584672,7.987760875,7.524795008,11.879832,,3.889593861,7.539922485,6.674886627,11.92645184,7.791457735,10.18411011,7.852807796,11.47246139,8.416461481
0.08,6.887583325,6.00698633,9.503939801,7.121524236,7.814782967,7.036834931,4.359131865,3.677328859,,6.877341828,4.374259343,5.987765944,9.417234349,7.20249715,8.466308405,6.901881852,3.269958246,6.56215589
0.1,4.887571339,7.313742627,7.430307743,6.47121359,7.084717242,5.852778755,2.788570306,4.781629956,,4.877329842,2.803697783,7.294522242,7.343602291,6.552186505,7.73624268,5.717825676,4.374259343,5.837458295
0.12,3.813945273,5.36281069,9.056084357,5.919063042,5.980416146,4.877312787,1.469543997,4.757089931,,3.803703776,1.484671474,5.343590305,8.969378905,6.000035957,6.631941584,4.742359708,4.349719318,5.165675128
0.14,4.709656162,4.411884746,4.9701703,5.348507476,4.968140141,4.202462117,1.782429307,4.0208892,,4.699414665,1.797556785,4.392664361,4.883464848,5.42948039,5.619665579,4.067509038,3.613518587,4.312909282
0.16,3.255659719,4.638879971,3.7615741,4.710466842,3.882244063,3.527611447,1.346843875,3.701868884,,3.245418222,1.361971352,4.619659586,3.674868648,4.791439757,4.533769501,3.392658368,3.294498271,3.614285463
0.18,3.685110145,3.896544234,3.258503601,4.072426209,2.912913101,2.975460899,0.7578832903,3.376713561,,3.674868648,0.7730107674,3.877323849,3.171798149,4.153399123,3.564438539,2.84050782,2.969342948,3.12808623
0.2,4.047075505,2.951753296,2.528437876,3.495735636,2.084687278,2.42331035,0.6106431441,3.088368275,,4.036834008,0.6257706212,2.932532911,2.441732424,3.576708551,2.736212716,2.288357272,2.680997662,2.664893271
0.22,3.519464981,2.473222821,2.276902626,2.968125112,1.348486547,1.932509863,0.4388629736,2.634377824,,3.509223484,0.4539904507,2.454002436,2.190197174,3.049098027,2.000011986,1.797556785,2.227007211,2.210135944
0.24,2.636024104,2.325982675,1.896532249,2.434379582,0.7349859383,1.521464455,0.1566526934,2.07609227,,2.625782607,0.1717801705,2.30676229,1.809826797,2.515352497,1.386511376,1.386511376,1.668721657,1.733906096
