Time (s),"Trial 1 (test, no added mass)",Trial 2 ,Trial 3,Trial 4,Trial 5,Trial 6
0,0.2245398609,0.1051290595,0.8311031033,-3.675264037,-11.61029397,-1.4883546
0.004,-0.1619655228,-0.04824609281,1.094908365,-11.60169191,-11.61029397,-11.61111465
0.008,0.05275969041,0.05604901073,0.8495081216,-11.60169191,-3.837241253,-11.61111465
0.012,-11.70191198,-0.01757106235,0.745213018,-11.60169191,-3.628651046,-11.61111465
0.016,-11.70191198,0.02537398028,0.4507327257,-11.60169191,-11.61029397,-11.61111465
0.02,-11.70191198,-11.60046256,-0.003257725044,-5.546440895,-1.254403689,-7.433175502
0.024,-11.70191198,-11.60046256,-1.113693827,-7.730503063,-1.131703567,-11.61111465
0.028,-5.849116169,-11.60046256,-3.248675947,-11.60169191,-7.683890072,-11.61111465
0.032,-4.1681245,-1.4654325,-4.843777531,-11.60169191,-2.683860108,-11.61111465
0.036,-2.628237971,-0.4776965192,-5.905133584,-11.60169191,-8.696166077,-11.61111465
0.04,-2.92885327,-2.256848285,-6.340719017,-11.60169191,-11.48759385,-4.991443078
0.044,-4.977945304,-9.631125606,-6.328449005,-7.460562795,-11.61029397,-2.543575648
0.048,-11.56694185,-11.60046256,-7.48183015,-5.037235389,-11.61029397,-4.979173066
0.052,-11.70191198,-11.60046256,-9.524787178,-4.896130249,-7.972235358,-9.506807561
0.056,-11.70191198,-11.60046256,-10.81313846,-7.067922405,-5.843388245,-9.285947342
0.06,-7.352192661,-8.833574815,-10.2487179,-8.969774293,-6.113328513,-6.015989095
0.064,-3.898184232,-8.164859151,-7.782445448,-6.074051419,-7.346464737,-4.427022518
0.068,-5.462610785,-9.238485217,-4.819237506,-4.730485085,-8.407820791,-6.21230929
0.072,-9.278584573,-9.545235521,-2.856035557,-4.454409811,-8.450765833,-7.150965222
0.076,-11.22951651,-9.066705046,-2.279344985,-3.644589007,-7.880210267,-5.746048827
0.08,-10.1068104,-9.471615448,-2.107564814,-2.491207862,-6.984499378,-2.739895843
0.084,-7.43194774,-8.759954742,-1.604494315,0.2756798852,-6.413943811,-0.991419107
0.088,-6.100651419,-8.072834059,-1.279338992,0.870775476,-6.315783714,-0.5435636623
0.092,-6.738692052,-7.894918883,-1.26706898,0.4290550375,-6.585723982,-1.427004539
0.096,-8.407413709,-7.066693061,-1.451119162,-0.1967155838,-6.88633928,-2.770570873
0.1,-8.818459117,-5.864231867,-2.076889784,-3.061763428,-6.831124226,-4.384077475
0.104,-7.708023014,-5.054411063,-2.972600673,-6.227426571,-6.530508927,-6.954645027
0.108,-6.683476997,-3.262989284,-3.555426252,-8.411488739,-6.223758623,-9.966933018
0.112,-6.468751784,-2.447033474,-3.659721355,-9.25811958,-6.156273556,-11.61111465
0.116,-7.11906243,-1.943962975,-3.635181331,-8.423758751,-6.248298647,-11.61111465
0.12,-7.585322892,-2.404088432,-3.635181331,-6.755037095,-6.309648708,-10.35957341
0.124,-7.18041249,-4.508395521,-3.395916093,-4.840915194,-6.193083592,-6.868754942
0.128,-6.413536729,-6.907182902,-2.727200429,-4.067904427,-5.855658257,-4.623342713
0.132,-6.014761333,-7.514548505,-1.837624546,-5.343985694,-5.530502934,-3.635606732
0.136,-6.174271492,-6.943992939,-1.162773876,-7.049517387,-5.383262788,-3.218426318
0.14,-6.517831833,-6.416382415,-0.8560235716,-7.178352515,-5.36485777,-3.126401227
0.144,-6.505561821,-5.851961855,-0.813078529,-6.098591443,-5.383262788,-2.954621056
0.148,-6.069976388,-5.348891355,-1.027803742,-4.736620091,-5.321912727,-2.770570873
0.152,-5.646660968,-4.974655984,-1.334554047,-3.662994025,-5.180807587,-2.598790703
0.156,-5.542365864,-4.496125509,-1.537009248,-2.957468325,-5.021297429,-2.537440642
0.16,-5.701876023,-3.729249747,-1.610629321,-2.331697703,-4.910867319,-2.801245904
0.164,-5.744821065,-3.140289163,-1.678114388,-2.037217411,-4.929272337,-3.635606732
0.168,-5.456475779,-3.281394303,-1.708789418,-2.301022673,-4.923137331,-4.463832554
0.172,-5.088375414,-4.060540076,-1.616764327,-2.76114813,-4.788167197,-4.881012968
0.176,-4.928865255,-5.054411063,-1.395904108,-3.29489366,-4.542766954,-4.813527901
0.18,-4.935000261,-5.741531745,-1.132098846,-3.675264037,-4.364851777,-4.322727414
0.184,-4.898190225,-5.833556836,-0.880563596,-3.693669055,-4.223746637,-3.65401175
0.188,-4.738680066,-5.336621343,-0.6719733889,-3.429863794,-4.131721546,-2.997566099
0.192,-4.548494878,-4.575880588,-0.543138261,-3.000413367,-4.082641497,-2.512900617
0.196,-4.370579701,-3.962379979,-0.5001932184,-2.50961288,-4.009021424,-2.242960349
0.2,-4.247879579,-3.508389528,-0.4265731453,-2.080162454,-3.849511265,-2.065045173
0.204,-4.1681245,-3.164829187,-0.3590880783,-1.797952173,-3.702271119,-1.985290094
0.208,-4.063829396,-3.109614132,-0.3774930966,-1.705927082,-3.59184101,-1.979155088
0.212,-3.947264281,-3.324339345,-0.475653194,-1.718197094,-3.542760961,-2.02210013
0.216,-3.793889128,-3.649494668,-0.5308682488,-1.779547155,-3.518220937,-2.052775161
0.22,-3.677324013,-3.956244973,-0.5063282245,-1.822492198,-3.444600863,-2.077315185
0.224,-3.573028909,-4.140295155,-0.5001932184,-1.853167228,-3.321900742,-2.120260228
0.228,-3.474868812,-4.097350113,-0.5124632306,-1.847032222,-3.125580547,-2.138665246
0.232,-3.346033684,-3.833544851,-0.4572481758,-1.755007131,-2.953800376,-2.095720203
0.236,-3.223333562,-3.496119516,-0.3713580905,-1.613901991,-2.867910291,-1.960750069
0.24,-3.119038458,-3.115749138,-0.3345480539,-1.460526838,-2.83723526,-1.746024856
0.244,-3.020878361,-2.833538858,-0.3284130478,-1.313286692,-2.751345175,-1.537434649
